t,ev1,ev2,ev3
0.00,0.003,0.046,0.014
0.50,0.027,0.006,0.022
1.00,0.043,0.014,0.042
1.50,0.019,0.026,0.037
2.00,0.008,0.046,0.018
2.50,0.011,0.009,0.029
3.00,0.021,0.053,0.036
3.50,0.009,0.024,0.066
4.00,0.008,0.042,0.039
4.50,0.038,0.030,0.055
5.00,0.032,0.047,0.067
5.50,0.038,0.025,0.029
6.00,0.057,0.042,0.037
6.50,0.058,0.049,0.064
7.00,0.057,0.036,0.047
7.50,0.058,0.030,0.069
8.00,0.022,0.058,0.067
8.50,0.065,0.068,0.059
9.00,0.030,0.036,0.062
9.50,0.047,0.034,0.082
10.00,0.048,0.066,0.050
10.50,0.038,0.034,0.058
11.00,0.040,0.055,0.062
11.50,0.069,0.079,0.054
12.00,0.050,0.046,0.078
12.50,0.078,0.050,0.085
13.00,0.048,0.042,0.086
13.50,0.052,0.051,0.072
14.00,0.048,0.065,0.074
14.50,0.058,0.074,0.068
15.00,0.045,0.052,0.061
15.50,0.066,0.067,0.096
16.00,0.067,0.085,0.106
16.50,0.048,0.054,0.067
17.00,0.065,0.082,0.098
17.50,0.065,0.102,0.064
18.00,0.090,0.068,0.108
18.50,0.053,0.106,0.104
19.00,0.100,0.089,0.078
19.50,0.101,0.083,0.074
20.00,0.085,0.088,0.094
20.50,0.065,0.071,0.102
21.00,0.081,0.074,0.096
21.50,0.096,0.103,0.099
22.00,0.082,0.088,0.090
22.50,0.074,0.094,0.085
23.00,0.101,0.107,0.111
23.50,0.068,0.093,0.104
24.00,0.074,0.123,0.121
24.50,0.094,0.112,0.096
25.00,0.083,0.106,0.124
25.50,0.105,0.082,0.119
26.00,0.119,0.119,0.136
26.50,0.124,0.095,0.107
27.00,0.105,0.134,0.112
27.50,0.125,0.129,0.121
28.00,0.112,0.135,0.135
28.50,0.098,0.132,0.109
29.00,0.102,0.139,0.142
29.50,0.102,0.108,0.132
30.00,0.129,0.129,0.149
30.50,0.125,0.137,0.134
31.00,0.109,0.120,0.130
31.50,0.118,0.141,0.122
32.00,0.098,0.138,0.123
32.50,0.116,0.110,0.152
33.00,0.110,0.119,0.152
33.50,0.123,0.121,0.158
34.00,0.121,0.126,0.163
34.50,0.140,0.146,0.130
35.00,0.143,0.141,0.160
35.50,0.123,0.151,0.160
36.00,0.126,0.146,0.161
36.50,0.157,0.161,0.162
37.00,0.117,0.148,0.159
37.50,0.116,0.142,0.170
38.00,0.157,0.166,0.134
38.50,0.144,0.165,0.162
39.00,0.132,0.126,0.177
39.50,0.160,0.158,0.152
40.00,0.160,0.167,0.170
40.50,0.150,0.145,0.152
41.00,0.140,0.147,0.164
41.50,0.130,0.167,0.158
42.00,0.134,0.146,0.161
42.50,0.149,0.174,0.149
43.00,0.140,0.152,0.154
43.50,0.167,0.145,0.150
44.00,0.159,0.176,0.189
44.50,0.162,0.158,0.193
45.00,0.171,0.167,0.179
45.50,0.182,0.194,0.198
46.00,0.146,0.163,0.174
46.50,0.149,0.186,0.160
47.00,0.185,0.178,0.188
47.50,0.164,0.197,0.188
48.00,0.189,0.198,0.195
48.50,0.194,0.178,0.181
49.00,0.190,0.182,0.180
49.50,0.183,0.182,0.173
50.00,0.192,0.184,0.214
50.50,0.179,0.206,0.183
51.00,0.166,0.189,0.208
51.50,0.196,0.196,0.178
52.00,0.178,0.168,0.192
52.50,0.206,0.185,0.210
53.00,0.191,0.177,0.210
53.50,0.167,0.180,0.207
54.00,0.171,0.219,0.202
54.50,0.197,0.221,0.187
55.00,0.216,0.178,0.213
55.50,0.201,0.225,0.202
56.00,0.217,0.210,0.210
56.50,0.181,0.192,0.206
57.00,0.191,0.200,0.229
57.50,0.194,0.214,0.194
58.00,0.184,0.220,0.236
58.50,0.194,0.189,0.206
59.00,0.198,0.206,0.224
59.50,0.197,0.222,0.236
60.00,0.222,0.227,0.228
60.50,0.198,0.234,0.215
61.00,0.229,0.217,0.234
61.50,0.213,0.228,0.221
62.00,0.218,0.234,0.224
62.50,0.221,0.222,0.230
63.00,0.212,0.228,0.244
63.50,0.203,0.210,0.250
64.00,0.201,0.243,0.250
64.50,0.209,0.237,0.226
65.00,0.242,0.218,0.222
65.50,0.203,0.244,0.228
66.00,0.218,0.258,0.254
66.50,0.240,0.241,0.251
67.00,0.207,0.254,0.238
67.50,0.249,0.236,0.268
68.00,0.210,0.265,0.230
68.50,0.236,0.242,0.274
69.00,0.247,0.268,0.272
69.50,0.235,0.230,0.238
70.00,0.250,0.270,0.264
70.50,0.234,0.254,0.265
71.00,0.231,0.261,0.245
71.50,0.222,0.232,0.260
72.00,0.256,0.242,0.258
72.50,0.258,0.245,0.265
73.00,0.254,0.253,0.252
73.50,0.261,0.269,0.252
74.00,0.267,0.268,0.286
74.50,0.268,0.262,0.281
75.00,0.247,0.271,0.252
75.50,0.250,0.266,0.292
76.00,0.268,0.287,0.293
76.50,0.283,0.274,0.282
77.00,0.261,0.257,0.293
77.50,0.270,0.256,0.267
78.00,0.252,0.284,0.286
78.50,0.253,0.284,0.286
79.00,0.258,0.274,0.309
79.50,0.253,0.266,0.291
80.00,0.288,0.300,0.283
80.50,0.286,0.263,0.284
81.00,0.292,0.291,0.289
81.50,0.282,0.284,0.295
82.00,0.297,0.310,0.280
82.50,0.292,0.310,0.301
83.00,0.282,0.283,0.297
83.50,0.287,0.297,0.281
84.00,0.309,0.282,0.303
84.50,0.272,0.301,0.282
85.00,0.280,0.290,0.295
85.50,0.289,0.281,0.305
86.00,0.306,0.306,0.330
86.50,0.314,0.300,0.307
87.00,0.307,0.321,0.312
87.50,0.304,0.313,0.313
88.00,0.298,0.301,0.311
88.50,0.298,0.322,0.299
89.00,0.282,0.329,0.318
89.50,0.312,0.330,0.330
90.00,0.307,0.334,0.326
90.50,0.303,0.298,0.306
91.00,0.322,0.334,0.316
91.50,0.310,0.326,0.330
92.00,0.300,0.338,0.329
